District,Soil_Type,Previous_Crop,Current_Crop,Stage,N,P,K,pH,Moisture,Target_Action,Situation
Umerkot,Loamy,None,Onion,Vegetative,87.6,37.7,118.8,7.14,41.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Moth bean,None,Empty Field,69.3,28.9,103.9,8.03,44.1,Bajra,Pre-Sowing
Umerkot,Light Sandy,Onion,None,Empty Field,74.8,35.8,133.2,7.78,37.7,Bajra,Pre-Sowing
Mirpur Khas,Loamy,Guava,None,Empty Field,121.9,65.6,198.7,6.57,56.4,Onion,Pre-Sowing
Tharparkar,Sandy Loam,Bajra,None,Empty Field,55.3,16.8,69.2,7.79,27.6,Jowar,Pre-Sowing
Umerkot,Light Sandy,None,Cotton,Vegetative,59.0,19.6,50.2,7.97,13.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,Bajra,None,Empty Field,36.2,44.5,64.2,7.22,20.5,Moth bean,Pre-Sowing
Mirpur Khas,Loamy,Sugarcane,None,Empty Field,42.3,24.2,84.0,7.5,14.4,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,Guar,None,Empty Field,76.9,44.5,71.2,8.63,6.8,Bajra,Pre-Sowing
Mirpur Khas,Silt Loam,Onion,None,Empty Field,130.9,49.3,215.3,7.33,45.7,Cotton,Pre-Sowing
Tharparkar,Desert Sand,None,Moth bean,Flowering,15.9,29.9,48.1,8.3,10.5,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,Bajra,None,Empty Field,61.1,32.7,97.6,7.19,28.7,Bajra,Pre-Sowing
Mirpur Khas,Alluvial,Mango,None,Empty Field,82.8,20.4,132.9,7.66,20.8,Wheat,Pre-Sowing
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,10.8,10.5,20.8,8.34,15.8,Desert grasses,Pre-Sowing
Tharparkar,Sandy,None,Jowar,Vegetative,40.7,14.2,32.4,8.1,7.5,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Desert grasses,Seedling,5.0,4.7,15.0,9.5,2.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,Sunflower,None,Empty Field,109.8,51.8,171.2,7.58,40.8,Cotton,Pre-Sowing
Umerkot,Sandy Loam,None,Onion,Seedling,47.2,22.0,53.4,7.74,23.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Umerkot,Loamy,None,Cotton,Vegetative,82.3,29.1,124.3,7.64,32.5,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,Bajra,None,Empty Field,31.8,49.6,49.9,7.21,23.7,Moth bean,Pre-Sowing
Umerkot,Light Sandy,None,Wheat,Seedling,99.1,33.3,121.2,7.18,48.8,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Bajra,None,Empty Field,15.0,16.8,28.6,8.59,14.6,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Maturity,75.5,29.8,66.7,8.21,17.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,None,Guar,Seedling,28.8,48.6,69.5,8.17,25.4,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Guava,Flowering,108.5,48.7,128.1,6.54,50.4,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,Jowar,None,Empty Field,98.4,59.6,115.9,7.93,8.3,Dates,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Vegetative,47.9,15.0,35.7,8.02,9.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,Bajra,None,Empty Field,108.0,65.6,140.9,8.36,15.1,Dates,Pre-Sowing
Umerkot,Light Sandy,Jowar,None,Empty Field,74.0,20.5,49.6,7.42,19.6,Jowar,Pre-Sowing
Tharparkar,Sandy,Jowar,None,Empty Field,5.5,7.4,15.0,7.94,3.8,Desert grasses,Pre-Sowing
Mirpur Khas,Loamy,None,Chilli,Vegetative,30.3,29.1,50.7,7.42,27.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Clay Loam,None,Onion,Vegetative,68.3,21.4,68.1,7.48,29.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Clay Loam,Wheat,None,Empty Field,112.6,72.0,170.1,6.85,65.3,Onion,Pre-Sowing
Umerkot,Sandy Loam,Moth bean,None,Empty Field,61.6,19.9,63.8,6.81,16.5,Jowar,Pre-Sowing
Tharparkar,Desert Sand,None,Desert grasses,Vegetative,5.9,6.9,16.1,9.3,3.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,Wheat,None,Empty Field,50.3,25.0,77.1,7.18,29.2,Wheat,Pre-Sowing
Tharparkar,Desert Sand,None,Wheat,Seedling,31.7,11.9,31.1,8.45,9.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,Moth bean,None,Empty Field,104.6,63.8,117.1,8.4,19.2,Dates,Pre-Sowing
Mirpur Khas,Clay Loam,None,Wheat,Seedling,108.8,45.5,139.6,7.45,42.0,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Guar,None,Empty Field,9.7,15.0,26.0,8.85,6.5,Desert grasses,Pre-Sowing
Umerkot,Clay,None,Moth bean,Vegetative,35.0,43.8,60.4,7.01,17.6,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,None,Banana,Vegetative,191.9,83.2,282.7,6.64,77.8,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Desert grasses,Maturity,5.9,5.5,15.0,8.24,3.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Mango,None,Empty Field,199.5,70.1,247.2,7.36,78.3,Sugarcane,Pre-Sowing
Umerkot,Sandy Loam,None,Cotton,Maturity,48.7,16.4,98.7,7.98,11.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,None,Wheat,Vegetative,35.7,14.1,34.6,8.53,12.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Silt Loam,None,Mango,Flowering,65.1,21.7,54.1,7.12,19.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Tomato,None,Empty Field,57.7,27.5,68.6,7.22,31.9,Wheat,Pre-Sowing
Umerkot,Loamy,None,Sunflower,Maturity,84.2,43.4,130.1,6.72,39.8,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Chilli,Seedling,71.2,39.3,94.7,7.07,42.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Jowar,None,Empty Field,47.8,17.3,74.1,7.31,24.2,Jowar,Pre-Sowing
Mirpur Khas,Silt Loam,None,Chilli,Seedling,52.1,18.5,62.8,7.45,23.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,None,Desert grasses,Seedling,6.2,6.1,15.4,8.55,3.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Dates,None,Empty Field,20.7,40.9,45.3,8.65,17.8,Guar,Pre-Sowing
Umerkot,Loamy,Cotton,None,Empty Field,112.6,53.4,159.6,6.57,61.0,Onion,Pre-Sowing
Umerkot,Sandy Loam,Guar,None,Empty Field,30.5,48.6,55.0,8.17,18.2,Guar,Pre-Sowing
Mirpur Khas,Loamy,None,Tomato,Maturity,101.2,37.6,143.1,6.47,48.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,Onion,None,Empty Field,96.5,42.3,114.8,6.62,36.3,Sunflower,Pre-Sowing
Umerkot,Loamy,Guar,None,Empty Field,7.2,18.4,16.2,9.15,7.1,Moth bean,Pre-Sowing
Umerkot,Loamy,None,Bajra,Flowering,54.4,22.9,66.8,7.88,16.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Wheat,Flowering,64.4,19.1,73.1,7.25,22.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Jowar,None,Empty Field,10.7,25.7,23.2,7.77,9.4,Moth bean,Pre-Sowing
Mirpur Khas,Silt Loam,None,Rice,Maturity,104.5,35.4,100.4,5.94,71.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Dates,Seedling,51.3,20.4,43.8,8.56,3.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Light Sandy,Chilli,None,Empty Field,96.2,34.0,146.1,7.84,26.9,Bajra,Pre-Sowing
Mirpur Khas,Alluvial,Mango,None,Empty Field,102.9,47.4,151.1,6.85,45.5,Wheat,Pre-Sowing
Umerkot,Loamy,None,Chilli,Flowering,93.5,46.7,121.8,6.94,55.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,Bajra,None,Empty Field,87.4,31.0,83.7,7.39,31.4,Wheat,Pre-Sowing
Umerkot,Clay,Moth bean,None,Empty Field,98.3,53.2,109.2,6.64,51.7,Chilli,Pre-Sowing
Umerkot,Light Sandy,None,Wheat,Maturity,79.3,23.4,71.6,7.02,30.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,Wheat,None,Empty Field,5.3,13.3,15.0,8.84,2.7,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,Bajra,None,Empty Field,21.0,25.0,48.8,8.69,17.6,Guar,Pre-Sowing
Tharparkar,Sandy Loam,None,Dates,Flowering,69.7,47.3,73.5,7.52,6.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Cotton,None,Empty Field,111.8,63.6,169.8,7.33,65.8,Cotton,Pre-Sowing
Umerkot,Sandy Loam,None,Guar,Vegetative,18.1,29.0,44.0,8.45,13.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,Bajra,None,Empty Field,98.0,58.6,143.7,6.59,59.8,Onion,Pre-Sowing
Tharparkar,Sandy,None,Wheat,Flowering,41.4,7.4,23.8,8.49,15.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,Wheat,None,Empty Field,28.6,6.1,21.6,8.82,5.8,Desert grasses,Pre-Sowing
Mirpur Khas,Loamy,Rice,None,Empty Field,70.2,45.4,128.1,6.93,50.9,Wheat,Pre-Sowing
Tharparkar,Sandy,Wheat,None,Empty Field,32.9,7.3,17.6,9.13,3.8,Desert grasses,Pre-Sowing
Mirpur Khas,Silt Loam,Wheat,None,Empty Field,121.9,58.9,113.7,6.4,84.2,Rice,Pre-Sowing
Umerkot,Sandy Loam,None,Chilli,Maturity,73.4,29.7,83.5,7.33,34.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Loamy,None,Guava,Vegetative,38.6,12.2,76.2,7.52,18.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Sandy,Guar,None,Empty Field,41.7,13.9,29.8,7.06,8.5,Jowar,Pre-Sowing
Tharparkar,Desert Sand,None,Dates,Seedling,82.1,39.5,71.6,7.75,5.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,None,Moth bean,Seedling,8.1,15.0,21.0,8.62,6.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,None,Tomato,Vegetative,131.6,70.1,175.0,6.71,67.4,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Banana,None,Empty Field,61.4,16.3,89.6,7.98,24.2,Wheat,Pre-Sowing
Tharparkar,Sandy,Jowar,None,Empty Field,28.6,29.2,46.4,8.67,5.0,Guar,Pre-Sowing
Umerkot,Loamy,None,Onion,Flowering,67.1,40.3,112.7,7.24,34.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,None,Sugarcane,Seedling,158.2,55.0,149.3,7.84,53.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,Guar,None,Empty Field,67.1,29.2,85.6,7.33,33.9,Jowar,Pre-Sowing
Mirpur Khas,Silt Loam,Tomato,None,Empty Field,92.1,42.0,145.1,6.79,44.4,Wheat,Pre-Sowing
Umerkot,Loamy,Chilli,None,Empty Field,64.2,31.2,116.1,7.27,47.5,Wheat,Pre-Sowing
Umerkot,Light Sandy,None,Moth bean,Maturity,9.8,15.9,15.0,8.25,5.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Light Sandy,None,Chilli,Maturity,91.5,48.8,144.1,7.38,56.8,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,Guar,None,Empty Field,98.8,49.7,126.9,7.28,47.0,Wheat,Pre-Sowing
Umerkot,Light Sandy,None,Jowar,Seedling,57.9,25.3,44.1,7.1,17.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Chilli,Vegetative,100.3,52.3,152.4,6.63,51.0,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,None,Dates,Vegetative,65.3,41.9,71.7,7.98,7.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Mango,None,Empty Field,108.3,39.0,135.3,6.11,42.7,Guava,Pre-Sowing
Mirpur Khas,Clay Loam,Guava,None,Empty Field,84.0,36.7,131.3,5.99,27.3,Guava,Pre-Sowing
Umerkot,Sandy Loam,Moth bean,None,Empty Field,89.4,34.5,106.6,6.84,38.5,Sunflower,Pre-Sowing
Mirpur Khas,Clay Loam,None,Chilli,Flowering,103.4,61.5,165.8,6.57,58.9,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Jowar,None,Empty Field,5.0,4.2,15.0,9.5,2.1,Desert grasses,Pre-Sowing
Tharparkar,Sandy,Bajra,None,Empty Field,9.0,18.3,22.5,8.66,7.8,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Mango,Vegetative,93.0,41.7,138.2,6.99,32.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Sugarcane,None,Empty Field,83.2,38.2,146.7,6.9,46.6,Wheat,Pre-Sowing
Mirpur Khas,Loamy,Tomato,None,Empty Field,126.6,57.7,173.1,6.37,38.6,Mango,Pre-Sowing
Tharparkar,Sandy Loam,None,Moth bean,Vegetative,9.9,17.4,20.1,8.63,7.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Guava,None,Empty Field,55.4,13.6,58.0,6.51,28.6,Guava,Pre-Sowing
Umerkot,Light Sandy,None,Bajra,Vegetative,25.4,11.7,53.3,8.69,9.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Desert Sand,None,Guar,Flowering,6.2,12.1,15.5,9.5,3.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Cotton,None,Empty Field,36.2,12.1,58.4,7.61,18.6,Wheat,Pre-Sowing
Mirpur Khas,Loamy,Chilli,None,Empty Field,129.0,50.4,166.2,6.23,44.3,Mango,Pre-Sowing
Umerkot,Loamy,Moth bean,None,Empty Field,62.9,35.1,92.4,7.45,33.7,Bajra,Pre-Sowing
Tharparkar,Sandy,None,Bajra,Maturity,18.6,9.9,25.9,8.61,5.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,Bajra,None,Empty Field,15.4,12.0,20.5,7.75,6.9,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,None,Desert grasses,Maturity,16.9,11.4,26.0,8.28,8.6,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,Cotton,None,Empty Field,105.8,41.8,122.1,6.35,52.1,Guava,Pre-Sowing
Mirpur Khas,Loamy,Chilli,None,Empty Field,66.2,39.6,109.2,7.28,35.8,Wheat,Pre-Sowing
Umerkot,Loamy,Cotton,None,Empty Field,89.6,26.0,127.5,7.3,36.5,Bajra,Pre-Sowing
Umerkot,Light Sandy,Onion,None,Empty Field,99.0,62.0,162.8,7.07,57.3,Chilli,Pre-Sowing
Mirpur Khas,Clay Loam,Onion,None,Empty Field,138.0,59.5,186.6,6.39,68.9,Tomato,Pre-Sowing
Umerkot,Light Sandy,Onion,None,Empty Field,60.7,19.0,53.7,6.81,21.2,Jowar,Pre-Sowing
Tharparkar,Desert Sand,Guar,None,Empty Field,49.5,15.3,71.0,7.98,25.0,Bajra,Pre-Sowing
Tharparkar,Sandy Loam,Wheat,None,Empty Field,9.3,15.0,24.7,8.95,7.7,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,Sugarcane,None,Empty Field,105.7,44.3,123.0,7.47,44.1,Wheat,Pre-Sowing
Tharparkar,Sandy,None,Moth bean,Flowering,9.6,18.5,24.9,7.7,7.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Moth bean,Flowering,14.2,27.4,34.6,7.88,12.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Jowar,None,Empty Field,8.8,23.5,29.0,7.77,8.0,Moth bean,Pre-Sowing
Tharparkar,Sandy Loam,None,Wheat,Seedling,22.2,10.6,37.4,8.7,9.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,None,Guar,Seedling,17.5,34.0,36.2,8.87,14.5,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,None,Guava,Maturity,66.1,29.8,96.9,5.56,30.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,None,Chilli,Vegetative,66.7,35.2,106.8,6.26,46.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Guar,Seedling,10.0,26.5,28.5,7.8,9.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,None,Guava,Maturity,61.8,26.9,93.5,5.78,36.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Wheat,None,Empty Field,113.3,60.4,127.1,8.36,12.5,Dates,Pre-Sowing
Mirpur Khas,Clay Loam,None,Wheat,Maturity,104.3,43.1,139.4,6.54,49.4,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Guar,None,Empty Field,65.1,27.8,90.1,7.63,24.6,Moth bean,Pre-Sowing
Mirpur Khas,Clay Loam,Chilli,None,Empty Field,70.4,33.0,83.4,6.15,32.0,Guava,Pre-Sowing
Tharparkar,Sandy,Jowar,None,Empty Field,24.3,40.8,36.3,7.71,11.2,Moth bean,Pre-Sowing
Tharparkar,Sandy,None,Jowar,Seedling,44.7,12.1,29.1,8.26,7.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Jowar,None,Empty Field,10.0,20.7,30.4,8.52,8.1,Desert grasses,Pre-Sowing
Mirpur Khas,Silt Loam,None,Rice,Maturity,112.0,30.6,102.1,6.37,57.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,None,Onion,Vegetative,126.8,51.0,192.8,6.32,59.3,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Wheat,None,Empty Field,45.5,15.6,27.3,7.94,9.2,Bajra,Pre-Sowing
Umerkot,Sandy Loam,Cotton,None,Empty Field,105.8,53.9,164.1,7.14,58.1,Onion,Pre-Sowing
Umerkot,Clay,None,Sunflower,Seedling,77.2,34.4,87.7,7.37,31.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Guar,None,Empty Field,82.5,22.3,104.8,7.9,44.8,Wheat,Pre-Sowing
Mirpur Khas,Silt Loam,None,Mango,Seedling,54.6,25.7,66.1,7.34,12.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Loamy,None,Tomato,Seedling,120.1,69.1,187.2,6.02,61.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,None,Onion,Flowering,91.3,39.6,127.5,6.65,37.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,Sunflower,None,Empty Field,90.4,40.5,124.4,7.54,35.0,Bajra,Pre-Sowing
Umerkot,Sandy Loam,None,Onion,Vegetative,33.3,17.7,100.3,7.21,26.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Tomato,None,Empty Field,116.9,46.0,140.0,6.61,52.1,Chilli,Pre-Sowing
Umerkot,Clay,None,Jowar,Vegetative,72.0,24.4,46.3,6.7,17.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Bajra,Seedling,28.3,5.5,21.0,8.58,4.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,None,Sugarcane,Maturity,123.3,39.5,144.2,7.33,64.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,None,Moth bean,Seedling,10.0,15.9,23.4,8.93,6.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,None,Cotton,Vegetative,110.0,39.2,187.8,7.76,51.9,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,None,Wheat,Seedling,100.2,38.3,103.8,6.88,40.7,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,Onion,None,Empty Field,27.3,14.5,25.2,8.56,8.0,Moth bean,Pre-Sowing
Mirpur Khas,Loamy,Rice,None,Empty Field,82.0,33.6,91.9,7.3,30.9,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,Wheat,None,Empty Field,8.9,19.7,25.9,7.98,8.4,Desert grasses,Pre-Sowing
Umerkot,Clay,None,Onion,Maturity,67.6,39.3,119.7,7.42,43.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Dates,None,Empty Field,9.7,16.1,26.2,8.25,7.4,Desert grasses,Pre-Sowing
Umerkot,Loamy,None,Guar,Flowering,15.6,33.2,41.3,7.24,16.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,None,Rice,Seedling,93.4,37.5,78.0,6.02,70.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
